"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",16149,3
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",6664,2
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",26697,-5
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",46218,0
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",14424,-4
"Alok Sharma ","@AlokSharma_RDG","Conservative","Reading West",80625,6
"Allan Dorans","@allandoransMP","Scottish National Party","Ayr, Carrick and Cumnock",1227,0
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",24956,-4
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",33914,13
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",57867,9
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",27252,17
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",8395,-1
"Alex Sobel","@alexsobel","Labour","Leeds North West",26766,-3
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",9456,-1
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",11703,2
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",25149,0
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",19000,18
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",7503,-1
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",17296,1
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",11704,-2
"Alan Mak ","@AlanMakMP","Conservative","Havant",11442,4
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",8125,5
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",13233,1
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",37413,4
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",17875,-1
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",19771,-2
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",7583,2
